Designator,Mid X,Mid Y,Rotation,Layer
C1,140.475,-81.875,90.0,top
IC1,225.55,-95.0,0.0,top
IC10,212.89,-74.705,0.0,top
IC11,200.243,-74.705,0.0,top
IC12,187.54,-74.705,0.0,top
IC13,174.843,-74.705,0.0,top
IC14,162.143,-74.705,0.0,top
IC2,212.88,-95.0,0.0,top
IC3,200.14,-95.0,0.0,top
IC4,187.465,-95.0,0.0,top
IC5,174.818,-95.0,0.0,top
IC6,162.118,-95.0,0.0,top
IC7,149.43,-95.0,0.0,top
IC8,136.718,-95.0,0.0,top
IC9,225.54,-74.705,0.0,top
J1,224.17,-119.045,0.0,top
SYM1,152.6,-81.225,0.0,top
U1,154.575,-89.15,180.0,top
